,AN_G,AN_O,EE_G,EE_O,IL_G,IL_O,LC_G,LC_O,RQ_G,RQ_O,TP_G,TP_O
seq1,1,0,1,0,0,1,1,0,0,1,0,1
seq2,0,1,0,1,1,0,0,1,1,0,1,0
seq3,1,0,0,1,0,1,1,0,0,1,1,0
seq4,0,1,1,0,1,0,0,1,1,0,0,1
