strategy,topic,corpus,method,participant,score,competence,mental_demand,frustration,pleasure,temporal_demand,effort,immersion,physical_effort,difficulty,familarity,understanding,cognitive_load,enjoyment
EE,EE_G,G,1,5,6,5,2,1,5,1,1,2,1,2,1,5,6,13
EE,EE_G,G,1,12,7,5,5,5,5,5,5,4,3,4,2,4,23,10
EE,EE_G,G,1,9,4,4,2,1,1,1,1,5,3,1,1,6,8,6
EE,EE_G,G,0,15,6,2,5,4,2,4,5,4,2,4,2,4,20,4
EE,EE_G,G,0,6,6,5,5,4,5,4,5,6,4,6,2,3,22,7
EE,EE_G,G,1,13,6,3,6,6,4,6,6,4,5,5,2,3,29,6
EE,EE_G,G,0,14,6,4,4,3,3,4,4,3,5,4,2,4,20,8
LC,LC_O,O,0,3,6,2,6,7,3,2,6,5,3,7,1,2,24,2
LC,LC_O,O,0,1,7,5,3,2,6,2,5,5,2,5,2,3,14,9
LC,LC_O,O,1,16,6,4,4,3,4,3,3,3,2,4,3,4,15,9
LC,LC_O,O,1,2,7,6,1,1,6,1,2,6,1,2,2,6,6,12
LC,LC_O,O,0,7,7,5,4,2,2,2,3,2,2,2,4,5,13,10
LC,LC_O,O,1,8,7,6,6,5,6,5,6,4,5,3,3,6,27,14
LC,LC_O,O,0,11,6,4,3,4,1,2,2,4,2,5,1,4,13,5
LC,LC_O,O,1,10,7,5,3,1,4,1,2,4,2,2,4,6,9,11
LC,LC_O,O,1,4,7,4,4,3,4,4,6,4,4,6,2,4,21,8
LC,LC_O,O,0,5,4,4,1,1,5,2,1,2,2,3,3,4,7,11
LC,LC_O,O,1,12,6,3,5,5,3,2,6,2,4,3,5,5,22,9
LC,LC_O,O,0,15,5,5,5,4,6,2,2,2,2,3,2,6,15,15
LC,LC_O,O,0,9,6,3,1,2,1,1,1,3,1,2,1,3,6,4
LC,LC_O,O,1,6,5,6,5,2,5,3,3,3,3,3,5,5,16,13
LC,LC_O,O,0,13,5,5,6,5,4,5,6,6,5,5,4,4,27,7
LC,LC_O,O,1,14,4,3,4,5,3,2,3,3,4,5,5,3,18,6
RQ,RQ_O,O,1,3,5,4,4,2,3,1,4,2,2,2,4,6,13,11
RQ,RQ_O,O,1,1,5,3,6,5,4,5,5,2,2,4,1,4,23,9
RQ,RQ_O,O,0,16,6,3,5,4,4,3,5,3,3,5,1,3,20,7
RQ,RQ_O,O,0,2,7,6,2,1,7,2,2,6,1,3,1,6,8,13
RQ,RQ_O,O,1,7,5,6,2,2,2,2,2,2,2,2,2,5,10,11
RQ,RQ_O,O,1,11,6,5,3,2,3,2,2,4,3,2,2,6,12,10
RQ,RQ_O,O,0,8,7,5,7,5,2,5,7,5,6,5,3,5,30,7
RQ,RQ_O,O,0,10,6,4,5,1,4,1,3,3,2,2,1,5,12,10
RQ,RQ_O,O,0,4,5,4,5,4,4,4,5,4,5,4,5,5,23,9
RQ,RQ_O,O,1,5,5,3,2,1,6,1,1,1,1,2,1,5,6,13
RQ,RQ_O,O,0,12,6,2,4,5,3,5,6,5,4,4,2,4,24,4
RQ,RQ_O,O,1,9,6,6,3,1,1,1,1,5,1,3,1,4,7,6
RQ,RQ_O,O,0,6,4,3,6,4,3,5,5,6,5,6,2,3,25,3
RQ,RQ_O,O,1,15,6,5,4,3,6,3,4,2,3,2,2,5,17,14
