AN_G,AN_O,RQ_G,RQ_O,LC_G,LC_O,IL_G,IL_O,EE_G,EE_O,TP_G,TP_O
B,B,B,B,B,B,C,A,B,B,B,B
B,B,B,B,B,C,B,B,B,B,B,B
B,B,C,C,B,B,B,B,B,D,B,B
B,C,B,B,B,B,B,B,B,C,D,B
C,C,C,B,C,B,C,A,B,B,B,B
B,C,B,B,B,B,C,B,C,B,B,A
C,A,B,A,B,C,B,B,C,B,C,B
