AN_G,AN_O,RQ_G,RQ_O,LC_G,LC_O,IL_G,IL_O,EE_G,EE_O,TP_G,TP_O
C,C,D,C,A,C,D,B,A,B,C,A
D,B,C,B,D,C,C,D,A,D,D,B
A,C,C,C,C,A,C,A,C,D,B,C
D,A,A,A,C,A,C,D,B,C,C,B
